age,country_citizenship,country_residence,marital_status,dependents,education_level,field_of_study,eca_done,total_work_exp,relevant_work_exp,current_employment_status,teer_category,job_offer,employer_sponsorship,offered_salary_cad,english_test,language_overall_score,french_proficiency,annual_income_cad,settlement_funds_cad,outstanding_debt_cad,financial_sponsor,previous_canada_visa,previous_visa_refusal,previous_immigration_violation,previous_canada_work,previous_canada_study,criminal_record,medical_flag,visa_outcome
31,USA,UAE,Married,0,Bachelor's,Business,1,4,1,Employed,TEER 2,0,0,0,IELTS,6.9,No French,40361,8152,206,Self,0,0,0,0,0,0,0,0
26,India,China,Divorced,0,Bachelor's,Healthcare,1,6,1,Employed,TEER 3,1,1,11768,CELPIP,7.1,No French,46398,30085,12198,Self,0,1,0,1,0,0,0,1
43,India,UK,Single,0,Master's,Information Technology,0,3,0,Employed,TEER 1,1,1,93166,Other,9.0,No French,56157,19957,433,Self,0,0,0,0,0,0,0,1
19,India,Philippines,Single,0,Bachelor's,Business,1,0,0,Employed,TEER 1,1,0,74494,IELTS,9.0,No French,8000,15219,11057,Family,0,0,0,0,0,0,0,1
37,Pakistan,UK,Single,1,Bachelor's,Information Technology,1,6,2,Employed,TEER 0,1,1,59304,IELTS,8.8,Basic,45130,11925,432,Self,1,1,0,0,1,0,0,1
45,Pakistan,Nigeria,Single,0,Bachelor's,Engineering,1,5,4,Employed,TEER 0,1,1,95624,CELPIP,9.0,No French,36806,76710,2330,Family,0,0,0,0,0,1,0,1
24,China,UAE,Married,3,High School,Business,0,3,2,Employed,TEER 0,1,0,115613,IELTS,7.8,No French,69436,20736,14724,Self,0,0,0,1,1,0,0,1
61,China,Philippines,Common-Law,2,Diploma,Information Technology,1,11,0,Employed,TEER 1,0,0,0,IELTS,8.1,Intermediate,59542,23595,24143,Self,1,0,0,0,0,0,0,0
25,Brazil,UAE,Single,1,Bachelor's,Information Technology,1,5,0,Employed,TEER 3,1,1,69833,IELTS,7.7,No French,12459,77524,4282,Self,1,0,0,0,0,0,0,1
52,India,Brazil,Single,2,Bachelor's,Engineering,0,6,1,Employed,TEER 1,1,1,57243,IELTS,8.6,No French,70252,29524,28036,Family,0,0,0,0,0,0,0,1
31,France,Canada,Single,0,Diploma,Business,1,6,5,Employed,TEER 0,1,1,81181,IELTS,7.7,No French,53990,82164,7886,Self,0,0,0,1,0,0,0,1
34,Nigeria,Philippines,Married,0,Bachelor's,Finance,0,6,3,Employed,TEER 1,0,0,0,No Test,4.6,Intermediate,14055,5811,4300,Employer,0,0,0,0,0,0,0,0
53,Philippines,UK,Single,1,Bachelor's,Engineering,1,6,5,Employed,TEER 1,0,0,0,CELPIP,8.7,No French,46115,49874,12988,Self,0,0,0,0,0,0,0,1
57,Nigeria,Nigeria,Married,2,Diploma,Healthcare,1,5,1,Employed,TEER 2,0,0,0,No Test,5.2,No French,65696,13214,2800,Self,0,0,0,0,0,0,0,0
21,India,Germany,Married,2,Bachelor's,Finance,1,1,1,Employed,TEER 1,1,1,140084,CELPIP,8.8,No French,20719,44582,2471,Self,1,1,0,0,0,1,0,0
19,India,Brazil,Married,0,Diploma,Computer Science,1,0,0,Employed,TEER 1,1,1,101730,IELTS,6.3,Basic,72551,51385,8549,Self,0,1,0,0,0,0,0,1
23,UK,Canada,Single,3,Master's,Information Technology,1,3,1,Self-employed,TEER 1,0,0,0,CELPIP,6.6,Basic,14747,10918,3960,Self,0,0,0,1,0,0,0,1
59,India,Germany,Married,0,Master's,Healthcare,1,13,3,Employed,TEER 0,0,0,0,Other,6.7,No French,29175,16141,1168,Self,0,0,0,0,0,0,0,0
21,China,India,Single,2,Bachelor's,Business,1,1,1,Employed,TEER 0,1,1,62441,No Test,4.9,No French,26142,35366,554,Family,1,0,0,0,1,0,0,1
46,India,Brazil,Single,4,Diploma,Business,1,1,0,Employed,TEER 0,1,1,79642,CELPIP,6.0,No French,72538,5607,12403,Self,0,0,0,1,0,0,0,1
35,Philippines,Nigeria,Common-Law,0,Master's,Engineering,1,4,3,Employed,TEER 1,1,1,55974,IELTS,7.0,No French,35179,38216,9013,Self,0,0,0,0,0,0,0,1
43,Philippines,China,Married,2,Master's,Computer Science,1,2,1,Employed,TEER 0,1,1,113208,IELTS,6.2,Basic,21743,5926,4245,Self,0,0,0,0,0,0,0,1
61,Philippines,Philippines,Single,0,Master's,Engineering,1,7,6,Employed,TEER 1,0,0,0,IELTS,6.6,No French,53904,64468,18124,Self,0,0,1,0,0,0,0,0
51,UK,UAE,Single,0,Diploma,Information Technology,1,4,0,Employed,TEER 2,1,1,66262,No Test,5.2,No French,58223,11085,4232,Self,0,0,0,0,0,0,0,1
27,Philippines,Nigeria,Single,1,Bachelor's,Information Technology,1,5,2,Employed,TEER 2,1,1,117246,IELTS,8.9,No French,58350,24426,9911,Other,0,0,0,0,0,0,0,1
53,China,Philippines,Single,1,Master's,Business,1,8,1,Unemployed,TEER 2,1,0,77906,Other,5.6,No French,39573,6115,19185,Family,0,0,1,0,0,0,0,0
31,Nigeria,Germany,Single,3,Bachelor's,Computer Science,1,6,2,Employed,TEER 3,0,0,0,IELTS,7.8,No French,50090,10850,14696,Family,1,1,0,0,0,0,0,0
48,Brazil,UAE,Single,1,Bachelor's,Business,1,5,4,Self-employed,TEER 1,0,0,0,CELPIP,5.6,Advanced,31995,15935,5724,Self,0,0,0,0,0,0,0,0
32,France,USA,Married,0,Bachelor's,Engineering,1,2,2,Employed,TEER 3,0,0,0,IELTS,5.8,No French,78496,19689,9131,Self,0,0,0,0,0,0,0,1
25,UK,UK,Married,2,Bachelor's,Engineering,1,5,1,Employed,TEER 1,1,1,108797,IELTS,8.3,No French,67884,3001,4270,Self,1,0,0,0,0,0,0,1
31,India,India,Married,3,High School,Computer Science,0,5,0,Employed,TEER 1,0,0,0,IELTS,8.4,No French,66659,57878,8334,Self,0,0,0,0,1,0,0,1
40,India,Brazil,Married,0,Bachelor's,Information Technology,1,6,3,Employed,TEER 1,1,1,89236,CELPIP,8.8,No French,60882,3192,2382,Self,1,0,0,1,0,1,0,1
57,Philippines,Nigeria,Single,4,High School,Computer Science,1,3,0,Employed,TEER 0,1,1,74894,IELTS,7.4,No French,55394,40145,4563,Self,1,0,0,0,0,0,0,1
38,China,India,Divorced,0,Bachelor's,Other,1,6,2,Employed,TEER 4/5,1,1,89310,CELPIP,8.9,No French,20112,18899,1881,Employer,0,0,0,0,1,0,0,1
33,India,China,Married,2,Diploma,Business,1,6,3,Employed,TEER 0,0,0,0,IELTS,6.2,No French,57666,21552,311,Other,0,0,0,1,0,0,0,1
35,Nigeria,Philippines,Married,0,Bachelor's,Engineering,1,4,0,Self-employed,TEER 1,1,1,81346,CELPIP,6.5,No French,47285,8838,7104,Self,0,0,0,1,1,0,0,1
41,China,Philippines,Married,0,Diploma,Information Technology,1,7,0,Employed,TEER 1,0,0,0,IELTS,6.0,No French,70267,26372,15986,Family,0,1,0,0,0,0,0,0
43,Philippines,Nigeria,Common-Law,0,Bachelor's,Finance,1,4,0,Employed,TEER 0,1,1,38820,CELPIP,8.7,No French,61148,22263,207,Family,1,0,0,0,0,0,0,1
42,USA,Canada,Married,1,Master's,Information Technology,1,0,0,Employed,TEER 0,1,1,79109,IELTS,6.4,Basic,56007,7485,1745,Self,1,0,0,0,0,0,0,1
58,India,Canada,Single,0,Diploma,Computer Science,1,9,3,Employed,TEER 0,1,0,105770,CELPIP,6.1,No French,11315,9799,4932,Employer,0,0,0,0,0,0,0,0
46,India,USA,Married,0,Diploma,Engineering,1,1,0,Employed,TEER 1,1,0,98367,IELTS,8.0,Intermediate,43219,4731,8770,Self,0,0,0,0,0,0,0,1
32,UK,UK,Married,1,Diploma,Finance,1,6,6,Employed,TEER 3,1,1,76197,CELPIP,5.8,No French,33842,4714,1502,Family,1,0,1,1,0,0,0,1
18,Nigeria,UAE,Married,3,Master's,Computer Science,1,0,0,Unemployed,TEER 1,1,1,116433,No Test,5.5,No French,50047,3346,466,Self,0,1,0,0,0,0,0,1
42,Brazil,China,Married,0,Bachelor's,Information Technology,1,5,0,Employed,TEER 0,1,1,65480,IELTS,5.9,Advanced,36689,9226,5855,Self,0,0,0,1,0,0,0,1
24,Nigeria,India,Single,0,Bachelor's,Finance,1,4,2,Employed,TEER 2,1,0,35807,IELTS,5.5,No French,39481,31459,13661,Self,0,0,0,1,0,0,0,1
26,India,Canada,Single,0,Diploma,Computer Science,1,6,0,Employed,TEER 4/5,1,1,29993,CELPIP,8.3,No French,54180,12502,286,Employer,0,0,0,0,0,0,0,1
41,USA,USA,Common-Law,0,Bachelor's,Computer Science,1,4,0,Self-employed,TEER 0,1,1,52013,CELPIP,7.7,No French,36357,13491,3438,Self,1,0,0,0,1,0,0,1
18,USA,USA,Married,2,Master's,Engineering,1,0,0,Employed,TEER 1,1,1,95965,IELTS,6.3,Basic,47431,6536,8713,Self,1,0,0,0,1,0,0,1
61,Brazil,Nigeria,Married,2,Master's,Business,1,10,4,Employed,TEER 4/5,1,1,64034,IELTS,6.4,No French,14611,24419,1120,Self,0,0,0,0,0,0,0,1
25,Philippines,China,Single,1,Bachelor's,Engineering,1,5,3,Unemployed,TEER 0,1,1,88141,IELTS,8.7,No French,28351,13469,2152,Self,0,0,0,0,1,0,0,1
41,China,Germany,Single,0,High School,Other,0,7,4,Self-employed,TEER 1,0,0,0,IELTS,7.5,No French,58120,31199,6134,Family,1,0,0,0,0,0,0,1
28,Philippines,UAE,Common-Law,2,Diploma,Healthcare,1,6,5,Employed,TEER 0,1,1,53797,IELTS,8.3,Basic,20396,36817,24500,Family,0,0,0,1,0,0,0,1
34,India,UK,Married,1,High School,Computer Science,1,4,2,Self-employed,TEER 3,1,0,88526,CELPIP,7.3,No French,69914,24968,2710,Employer,0,0,1,0,1,0,0,0
25,France,Brazil,Married,2,Diploma,Other,1,3,3,Employed,TEER 4/5,0,0,0,IELTS,6.5,No French,64487,11076,5348,Family,1,0,0,0,0,0,0,1
52,India,Nigeria,Married,1,Diploma,Engineering,1,5,4,Employed,TEER 2,0,0,0,IELTS,9.4,No French,39635,20762,4085,Employer,0,0,0,0,0,0,0,1
52,France,UAE,Married,2,Diploma,Information Technology,1,4,1,Employed,TEER 1,0,0,0,Other,7.8,Basic,104974,10256,18215,Family,1,0,0,0,0,0,0,0
50,Nigeria,Brazil,Single,1,Bachelor's,Engineering,1,4,3,Self-employed,TEER 1,0,0,0,IELTS,6.0,No French,69862,61303,596,Employer,0,1,0,1,0,0,0,0
22,India,Brazil,Married,0,Master's,Information Technology,0,2,0,Employed,TEER 0,1,1,69557,CELPIP,7.1,No French,26014,39352,6680,Self,0,1,0,0,0,0,0,1
59,China,China,Single,3,Bachelor's,Computer Science,1,2,0,Employed,TEER 3,1,1,124455,Other,6.8,Basic,59923,19981,14972,Self,1,0,1,0,1,1,0,0
56,Pakistan,China,Single,1,Master's,Computer Science,1,7,4,Unemployed,TEER 3,0,0,0,IELTS,6.4,No French,46317,87138,35461,Other,1,0,0,0,1,0,0,1
58,UK,India,Married,1,Bachelor's,Engineering,0,3,0,Employed,TEER 1,0,0,0,IELTS,9.2,No French,29465,22783,9597,Family,0,0,0,0,0,0,0,0
45,USA,USA,Common-Law,0,Diploma,Business,1,5,0,Employed,TEER 2,0,0,0,No Test,5.4,Intermediate,23601,12957,3823,Employer,0,0,0,0,0,0,0,0
24,Brazil,UAE,Single,1,Bachelor's,Engineering,1,4,2,Employed,TEER 0,0,0,0,No Test,4.6,Basic,64897,5508,4245,Self,0,0,0,0,0,0,0,0
26,Brazil,Nigeria,Married,1,Diploma,Other,1,6,4,Employed,TEER 1,1,1,105496,IELTS,6.9,No French,33041,22617,3466,Employer,1,0,0,0,1,0,0,1
25,USA,Philippines,Single,0,Bachelor's,Information Technology,1,5,4,Employed,TEER 2,1,0,66958,IELTS,8.5,No French,42962,52227,7402,Family,0,0,0,0,0,0,0,1
29,India,Nigeria,Single,0,Bachelor's,Information Technology,1,3,2,Self-employed,TEER 1,0,0,0,IELTS,6.3,No French,26579,53382,10758,Self,0,1,0,0,0,0,0,0
51,Nigeria,India,Single,1,PhD,Computer Science,1,3,3,Employed,TEER 1,0,0,0,IELTS,7.9,Intermediate,30036,26194,13694,Self,1,0,0,0,0,0,0,1
50,India,UK,Single,2,Diploma,Computer Science,1,5,1,Employed,TEER 0,0,0,0,IELTS,8.3,Advanced,42461,15498,4310,Self,0,0,0,0,0,1,0,0
40,Vietnam,USA,Married,1,Diploma,Information Technology,1,7,6,Employed,TEER 2,0,0,0,CELPIP,8.1,No French,52763,29266,10090,Employer,0,0,0,0,0,0,0,1
41,France,Philippines,Single,0,Master's,Business,1,5,5,Employed,TEER 3,1,1,83878,Other,8.3,No French,8000,38901,19836,Family,0,0,1,0,0,0,0,1
54,India,Canada,Married,1,High School,Finance,0,5,1,Employed,TEER 4/5,1,1,67193,IELTS,8.3,Basic,45338,16259,20288,Employer,1,0,0,0,0,0,0,1
52,UK,UK,Common-Law,0,Bachelor's,Other,1,10,9,Employed,TEER 2,0,0,0,CELPIP,9.4,No French,30077,19168,9739,Self,1,0,0,0,0,0,0,1
61,France,China,Single,0,Bachelor's,Information Technology,1,2,0,Employed,TEER 1,0,0,0,IELTS,6.9,No French,73047,31534,8104,Employer,0,0,0,0,1,0,0,0
57,India,Brazil,Married,0,Master's,Finance,1,6,3,Self-employed,TEER 1,1,1,70782,IELTS,9.0,No French,103855,55318,6066,Self,0,1,0,1,0,0,0,1
39,China,Canada,Single,0,PhD,Information Technology,1,7,2,Employed,TEER 4/5,1,0,79071,IELTS,5.6,No French,37814,42136,1618,Self,0,0,0,0,0,0,0,1
44,France,Nigeria,Married,0,PhD,Computer Science,1,4,1,Employed,TEER 1,1,1,88196,IELTS,6.7,Intermediate,10555,3566,1055,Self,0,0,0,0,0,0,0,1
52,India,Nigeria,Single,0,High School,Finance,0,11,4,Unemployed,TEER 2,1,1,86576,IELTS,5.7,Intermediate,47337,6320,5319,Other,0,0,0,0,0,0,0,1
18,Brazil,China,Single,0,Master's,Healthcare,0,0,0,Self-employed,TEER 2,0,0,0,Other,8.1,No French,40891,50895,1389,Self,1,0,0,0,0,0,0,1
52,Philippines,India,Single,0,Bachelor's,Computer Science,0,4,1,Employed,TEER 3,1,1,96636,IELTS,5.9,No French,84427,47867,6883,Self,1,1,0,0,0,0,0,1
54,France,UAE,Single,1,Bachelor's,Engineering,1,1,1,Unemployed,TEER 0,1,0,73107,CELPIP,8.9,No French,78331,15308,8300,Self,0,0,0,0,0,0,0,1
31,Vietnam,Canada,Single,0,Diploma,Information Technology,1,11,7,Employed,TEER 0,0,0,0,IELTS,8.1,Basic,62307,24943,5965,Self,0,0,0,1,0,0,0,1
20,France,Canada,Married,0,Bachelor's,Business,1,0,0,Employed,TEER 2,1,1,45703,IELTS,5.6,No French,33266,62070,296,Employer,0,0,0,0,0,0,0,1
18,Nigeria,Germany,Common-Law,2,PhD,Engineering,1,0,0,Employed,TEER 3,0,0,0,IELTS,8.4,No French,58555,63635,475,Self,0,1,0,1,0,0,0,1
22,Pakistan,UK,Married,0,Master's,Other,1,2,1,Employed,TEER 2,1,0,78272,CELPIP,8.9,No French,50300,41207,962,Family,0,0,0,0,0,0,0,1
43,USA,USA,Married,1,Bachelor's,Computer Science,0,5,2,Employed,TEER 1,0,0,0,IELTS,8.1,No French,49826,8880,1334,Employer,0,0,0,0,0,0,0,0
31,Philippines,UK,Single,0,High School,Information Technology,0,1,1,Employed,TEER 1,1,1,101007,CELPIP,5.6,No French,13835,35759,36747,Self,0,0,0,0,0,0,0,1
56,USA,UAE,Single,0,Bachelor's,Engineering,1,6,0,Employed,TEER 2,1,1,67497,Other,8.9,Advanced,66235,5664,3378,Employer,0,0,0,1,1,0,0,1
44,India,Nigeria,Single,1,Master's,Engineering,0,4,0,Employed,TEER 2,0,0,0,CELPIP,8.4,No French,47156,59093,2762,Self,0,0,0,0,0,0,0,1
26,China,Nigeria,Single,1,Bachelor's,Information Technology,1,6,1,Employed,TEER 2,0,0,0,IELTS,7.0,No French,42983,7037,429,Other,1,1,0,0,0,0,0,0
32,India,Nigeria,Married,2,Bachelor's,Business,1,4,4,Employed,TEER 1,1,0,84775,CELPIP,6.8,No French,32996,30143,8069,Self,0,1,0,0,0,0,0,1
32,India,Germany,Married,1,High School,Finance,1,9,7,Employed,TEER 3,0,0,0,IELTS,7.4,No French,29127,26555,8448,Family,0,0,0,0,0,0,0,1
43,India,Nigeria,Single,3,Bachelor's,Finance,1,5,2,Employed,TEER 1,1,1,110422,CELPIP,9.0,No French,51345,40503,1543,Family,0,0,0,0,0,0,0,1
59,Brazil,UAE,Single,0,Bachelor's,Business,0,2,2,Employed,TEER 2,0,0,0,IELTS,6.5,No French,10016,23050,20130,Self,0,1,0,0,1,0,0,0
30,Philippines,China,Married,0,Master's,Business,1,8,8,Employed,TEER 0,1,0,102641,IELTS,5.9,Basic,60789,4535,12895,Self,0,0,0,0,0,0,0,1
49,UK,USA,Married,0,Bachelor's,Engineering,1,2,2,Employed,TEER 1,1,1,95405,IELTS,9.0,No French,23917,33591,2094,Self,0,0,0,0,1,0,0,1
56,India,UAE,Single,0,Bachelor's,Business,1,7,6,Employed,TEER 3,1,1,88048,IELTS,5.6,No French,8000,15078,5321,Self,0,0,0,0,0,0,0,1
49,Philippines,USA,Common-Law,1,Bachelor's,Information Technology,0,9,8,Employed,TEER 0,1,0,4610,IELTS,9.1,No French,81437,12652,4905,Self,0,0,1,0,0,0,0,1
21,China,UAE,Divorced,1,High School,Information Technology,0,1,1,Unemployed,TEER 1,1,1,106245,Other,6.7,Basic,27838,122707,3428,Other,1,0,0,0,0,0,0,1
47,USA,Nigeria,Single,0,PhD,Information Technology,1,3,3,Employed,TEER 1,1,1,55418,Other,7.5,No French,30556,25314,13613,Self,1,0,0,0,0,0,0,1
54,Philippines,China,Single,3,Bachelor's,Engineering,1,6,2,Employed,TEER 2,1,1,66830,IELTS,6.0,Basic,67690,34008,925,Self,0,0,0,1,0,0,0,1
40,Brazil,Canada,Married,2,Bachelor's,Information Technology,0,7,7,Employed,TEER 1,1,1,74246,IELTS,9.1,No French,82088,21680,4293,Self,0,0,0,1,0,0,0,1
56,Pakistan,UK,Common-Law,0,Bachelor's,Other,1,2,0,Employed,TEER 0,1,0,86963,IELTS,8.5,No French,14339,39738,4469,Self,0,0,0,0,0,1,0,0
32,China,Brazil,Common-Law,0,Bachelor's,Information Technology,1,9,0,Employed,TEER 3,0,0,0,IELTS,9.2,No French,25876,37865,5059,Self,0,0,0,0,0,0,0,1
60,India,China,Single,0,Bachelor's,Computer Science,1,5,0,Employed,TEER 1,0,0,0,No Test,5.3,Advanced,27346,29761,15806,Other,0,0,0,0,0,0,0,0
46,India,Canada,Single,0,Bachelor's,Engineering,1,5,3,Self-employed,TEER 0,0,0,0,CELPIP,6.2,No French,63696,155343,1968,Employer,0,1,0,1,0,0,0,1
53,Pakistan,India,Married,0,Diploma,Computer Science,1,3,2,Employed,TEER 0,0,0,0,IELTS,6.7,No French,77782,18395,868,Self,0,0,0,1,1,0,0,1
30,India,UAE,Married,1,Bachelor's,Computer Science,1,6,2,Employed,TEER 4/5,0,0,0,IELTS,7.4,No French,23394,33620,7694,Self,1,1,0,0,0,0,0,0
49,Pakistan,India,Single,0,Diploma,Computer Science,1,6,1,Self-employed,TEER 0,0,0,0,CELPIP,7.9,No French,73294,42959,1527,Self,1,0,1,0,0,0,0,0
24,China,Canada,Married,0,Bachelor's,Engineering,1,4,3,Employed,TEER 2,1,0,61477,CELPIP,9.2,No French,30819,14791,623,Family,0,0,0,0,0,0,0,1
