age,salary,experience,ielts_score,bank_balance,education,job_role,sponsorship,international_experience,criminal_record,employment_type,country,visa_status
42,87395,12,7.7,23448,PhD,AI Engineer,No,Yes,Yes,Contract,UK,Approved
26,103958,8,7.4,19785,PhD,Data Scientist,No,Yes,Yes,Full-Time,UK,Approved
42,142777,12,6.7,33649,PhD,Cloud Engineer,No,No,No,Contract,UK,Approved
28,108822,11,7.8,56233,Bachelors,Software Engineer,No,No,No,Full-Time,Germany,Approved
29,103291,1,6.7,95068,Masters,AI Engineer,Yes,No,Yes,Contract,USA,Approved
40,84606,12,6.0,72379,Masters,AI Engineer,Yes,Yes,Yes,Full-Time,Australia,Approved
30,62341,12,7.7,11578,PhD,AI Engineer,Yes,No,Yes,Full-Time,Australia,Approved
34,55470,6,7.9,29100,Bachelors,Data Scientist,No,No,Yes,Full-Time,Germany,Rejected
43,96407,0,6.2,23109,Diploma,Software Engineer,Yes,Yes,Yes,Full-Time,UK,Rejected
22,84487,7,7.3,29494,Masters,Software Engineer,No,Yes,No,Full-Time,Australia,Approved
27,67818,14,7.8,46947,Diploma,Software Engineer,Yes,Yes,Yes,Full-Time,USA,Approved
26,53549,13,8.8,62603,PhD,Data Scientist,No,No,No,Full-Time,Germany,Approved
26,73631,8,7.0,32834,Diploma,Cloud Engineer,Yes,Yes,Yes,Full-Time,Canada,Approved
42,106531,9,6.7,51146,Bachelors,AI Engineer,No,No,No,Full-Time,Canada,Approved
23,147586,9,6.3,93458,PhD,AI Engineer,No,Yes,No,Full-Time,Australia,Approved
33,135475,2,8.3,16816,Masters,Data Scientist,Yes,Yes,Yes,Contract,USA,Approved
28,78528,11,8.4,73985,Masters,AI Engineer,Yes,No,No,Full-Time,Australia,Approved
31,76697,7,7.8,65639,Diploma,Data Scientist,Yes,Yes,Yes,Full-Time,Australia,Approved
25,144323,5,6.6,37907,Masters,Software Engineer,No,No,No,Full-Time,USA,Approved
26,55157,11,8.6,90367,Diploma,Software Engineer,No,Yes,Yes,Contract,USA,Approved
42,79190,1,8.6,27077,Masters,Backend Developer,No,No,Yes,Contract,Canada,Rejected
43,61456,12,8.6,40383,PhD,Data Scientist,Yes,No,No,Full-Time,Canada,Approved
44,75245,6,7.6,47982,PhD,AI Engineer,Yes,Yes,No,Full-Time,Germany,Approved
24,95674,9,5.9,83886,Diploma,AI Engineer,Yes,No,Yes,Full-Time,UK,Approved
43,130757,9,7.9,68067,Masters,Data Scientist,No,Yes,Yes,Contract,Canada,Approved
40,126573,0,6.9,52183,PhD,Software Engineer,Yes,No,Yes,Contract,Australia,Approved
32,146028,9,7.0,56437,PhD,Backend Developer,No,No,Yes,Full-Time,Australia,Approved
43,121347,2,7.6,36676,Bachelors,Backend Developer,No,Yes,Yes,Full-Time,Australia,Rejected
27,76031,2,7.7,31462,PhD,Cloud Engineer,No,No,No,Full-Time,Germany,Rejected
24,124018,13,6.1,38060,Masters,Data Scientist,Yes,No,Yes,Contract,Canada,Approved
25,123150,13,8.5,61465,Bachelors,Software Engineer,Yes,Yes,Yes,Full-Time,Australia,Approved
43,98958,6,6.9,82038,PhD,Cloud Engineer,No,No,No,Full-Time,USA,Approved
37,71776,13,7.2,60918,Masters,Software Engineer,No,Yes,No,Full-Time,Germany,Approved
43,53429,8,7.4,36661,Masters,Cloud Engineer,Yes,No,No,Contract,Germany,Approved
44,78183,8,8.9,41545,Bachelors,AI Engineer,Yes,No,Yes,Contract,Canada,Approved
33,133037,10,8.7,40044,Diploma,AI Engineer,No,No,Yes,Full-Time,UK,Approved
23,78498,8,6.1,57753,Masters,Backend Developer,Yes,No,Yes,Contract,USA,Rejected
29,104084,2,5.9,39642,Diploma,Data Scientist,Yes,No,Yes,Contract,USA,Rejected
29,109347,15,8.7,14099,Diploma,Cloud Engineer,Yes,Yes,Yes,Contract,Germany,Approved
22,121024,9,7.9,57154,Masters,AI Engineer,No,No,No,Contract,Australia,Approved
44,76868,13,6.6,30304,PhD,Backend Developer,Yes,No,No,Contract,Germany,Approved
23,54651,11,6.8,89992,PhD,Backend Developer,Yes,No,No,Contract,Australia,Approved
31,65391,3,6.1,47150,Bachelors,Cloud Engineer,Yes,No,Yes,Full-Time,Australia,Rejected
27,81079,11,7.5,79598,PhD,AI Engineer,No,No,No,Contract,USA,Approved
30,55374,10,7.5,55646,Masters,Cloud Engineer,No,Yes,No,Contract,Australia,Approved
43,102550,15,5.7,99205,Masters,Data Scientist,Yes,Yes,No,Full-Time,USA,Approved
45,97548,7,8.5,90452,Diploma,Backend Developer,Yes,Yes,Yes,Contract,Germany,Approved
45,97505,2,8.8,39550,Diploma,Backend Developer,No,No,No,Full-Time,USA,Approved
23,91016,5,5.6,23425,Masters,AI Engineer,Yes,Yes,No,Full-Time,Germany,Approved
37,100491,13,7.9,96501,Bachelors,Software Engineer,Yes,No,Yes,Contract,Canada,Approved
39,109650,5,7.1,34414,PhD,Data Scientist,Yes,No,Yes,Full-Time,USA,Approved
31,114035,5,7.4,29854,PhD,Backend Developer,Yes,Yes,Yes,Full-Time,USA,Approved
29,94151,13,6.9,27967,PhD,AI Engineer,No,No,No,Contract,UK,Approved
35,76233,11,5.6,73510,PhD,Software Engineer,No,No,Yes,Full-Time,Germany,Rejected
39,127214,2,9.0,74742,PhD,Cloud Engineer,Yes,Yes,No,Contract,Germany,Approved
26,66206,0,8.1,65974,PhD,Cloud Engineer,Yes,Yes,Yes,Contract,USA,Approved
24,117659,7,7.5,66858,PhD,Data Scientist,Yes,No,Yes,Full-Time,Canada,Approved
29,70399,5,7.5,56237,Masters,AI Engineer,No,No,Yes,Full-Time,USA,Rejected
33,129805,14,7.8,36411,Diploma,Cloud Engineer,No,Yes,No,Full-Time,Canada,Approved
33,145416,3,7.4,16342,Bachelors,Backend Developer,No,No,Yes,Contract,UK,Rejected
32,82213,3,8.8,21511,Masters,Cloud Engineer,Yes,No,No,Full-Time,Germany,Approved
42,108689,9,5.9,40818,Bachelors,Cloud Engineer,Yes,No,No,Full-Time,Australia,Approved
27,112447,6,8.5,87050,Bachelors,Backend Developer,No,Yes,Yes,Contract,UK,Approved
26,59773,4,7.2,73653,Diploma,Software Engineer,No,Yes,Yes,Contract,Canada,Approved
36,57211,12,8.8,95046,Diploma,Cloud Engineer,No,Yes,Yes,Contract,UK,Approved
35,140155,1,6.6,35267,Masters,Data Scientist,Yes,No,Yes,Contract,USA,Approved
33,149229,8,6.7,54304,PhD,Cloud Engineer,No,No,Yes,Full-Time,Australia,Approved
24,145467,6,7.3,35002,PhD,AI Engineer,Yes,Yes,Yes,Contract,Australia,Approved
38,146137,5,7.9,62671,Bachelors,Backend Developer,No,No,Yes,Full-Time,Germany,Approved
34,74869,11,7.3,86706,Bachelors,Backend Developer,No,Yes,Yes,Full-Time,Australia,Approved
25,147168,11,6.7,26272,Diploma,Cloud Engineer,Yes,Yes,No,Full-Time,UK,Approved
40,100270,10,6.8,32518,Bachelors,Cloud Engineer,Yes,No,Yes,Full-Time,Canada,Approved
45,78109,0,6.9,38698,Masters,Software Engineer,Yes,Yes,No,Full-Time,Australia,Approved
25,74050,8,6.3,21283,Diploma,Software Engineer,No,Yes,Yes,Contract,USA,Rejected
32,118370,11,6.0,40956,PhD,Software Engineer,No,Yes,Yes,Full-Time,Australia,Approved
23,108630,12,8.8,10903,Diploma,Software Engineer,Yes,Yes,Yes,Contract,USA,Approved
44,62163,2,5.6,72636,Bachelors,Cloud Engineer,Yes,Yes,Yes,Contract,Australia,Rejected
43,145184,12,5.5,67882,PhD,Cloud Engineer,No,Yes,No,Contract,Germany,Approved
40,112186,4,7.6,63332,Bachelors,Cloud Engineer,No,Yes,No,Full-Time,Germany,Approved
24,118708,13,5.8,39236,Diploma,Backend Developer,No,No,No,Contract,Australia,Approved
37,102220,9,5.9,84255,Diploma,Data Scientist,No,Yes,No,Full-Time,Germany,Approved
33,120976,13,7.8,68589,Bachelors,Data Scientist,No,No,No,Contract,USA,Approved
29,75405,5,5.9,25925,Diploma,AI Engineer,Yes,Yes,Yes,Contract,USA,Rejected
37,62811,3,8.7,63835,Diploma,Backend Developer,Yes,No,No,Full-Time,UK,Approved
42,79557,14,8.9,33934,Bachelors,Cloud Engineer,Yes,Yes,Yes,Contract,Australia,Approved
27,74730,7,6.4,78458,PhD,Cloud Engineer,Yes,No,No,Full-Time,Australia,Approved
22,115559,10,8.5,33556,Masters,AI Engineer,Yes,No,Yes,Contract,USA,Approved
33,55026,0,7.2,68796,Masters,Software Engineer,Yes,Yes,Yes,Full-Time,Canada,Approved
45,137477,2,6.9,37985,PhD,Data Scientist,No,Yes,Yes,Contract,Canada,Rejected
26,138385,4,8.5,98362,PhD,Data Scientist,No,Yes,Yes,Full-Time,Australia,Approved
37,73599,15,6.4,68240,Masters,Software Engineer,Yes,No,Yes,Full-Time,USA,Rejected
31,138553,3,7.8,73078,Masters,Backend Developer,Yes,No,No,Contract,Germany,Approved
22,125866,4,7.2,16074,Masters,Cloud Engineer,No,No,Yes,Contract,UK,Approved
44,54030,8,6.7,20194,Masters,AI Engineer,Yes,Yes,Yes,Contract,UK,Approved
39,116195,7,6.6,41855,Diploma,Data Scientist,No,Yes,Yes,Contract,Canada,Approved
32,85446,3,6.4,28508,Masters,Cloud Engineer,Yes,No,No,Contract,Canada,Approved
45,60734,7,7.4,27699,Masters,Software Engineer,No,No,Yes,Contract,Germany,Rejected
26,96237,11,7.3,55630,PhD,Cloud Engineer,Yes,No,Yes,Full-Time,Canada,Approved
41,80297,4,8.8,12030,PhD,AI Engineer,No,Yes,Yes,Full-Time,UK,Approved
28,75236,1,7.1,89374,Bachelors,Software Engineer,No,Yes,No,Contract,Canada,Approved
33,61416,11,6.3,96304,Diploma,Cloud Engineer,No,No,No,Contract,Australia,Rejected
38,59178,8,8.3,35001,Masters,Data Scientist,Yes,No,Yes,Full-Time,Canada,Approved
45,89283,7,7.4,43852,Bachelors,AI Engineer,Yes,No,No,Contract,Germany,Approved
30,50077,14,8.3,69432,Masters,Software Engineer,No,No,No,Full-Time,USA,Approved
31,134840,6,5.6,35725,Bachelors,Cloud Engineer,No,No,Yes,Full-Time,Canada,Rejected
27,143465,13,7.0,83216,Diploma,Backend Developer,Yes,No,No,Contract,USA,Approved
25,115087,9,9.0,48829,Diploma,Backend Developer,No,No,No,Full-Time,Germany,Approved
43,93525,7,6.3,14219,Bachelors,AI Engineer,No,Yes,Yes,Contract,Germany,Rejected
30,65687,1,8.2,77962,PhD,Cloud Engineer,Yes,No,No,Contract,Germany,Approved
37,76752,15,7.4,88323,Masters,Software Engineer,Yes,Yes,No,Contract,Australia,Approved
45,93940,10,6.9,66667,PhD,Backend Developer,Yes,No,No,Contract,UK,Approved
28,122389,10,8.8,89508,Bachelors,Data Scientist,No,No,No,Full-Time,UK,Approved
32,82941,10,7.5,99725,Bachelors,Software Engineer,Yes,No,Yes,Contract,UK,Approved
44,70443,4,8.3,25976,Masters,Cloud Engineer,Yes,No,Yes,Contract,Germany,Rejected
38,128232,12,5.8,34773,Masters,Cloud Engineer,Yes,No,Yes,Full-Time,Germany,Approved
34,101250,9,5.8,60090,Bachelors,Backend Developer,Yes,No,No,Contract,UK,Approved
41,119260,11,5.7,95152,Diploma,Software Engineer,No,Yes,No,Full-Time,UK,Approved
27,147446,4,8.3,77319,Masters,Cloud Engineer,No,Yes,No,Contract,Germany,Approved
29,106554,15,8.8,12565,PhD,AI Engineer,Yes,Yes,Yes,Full-Time,USA,Approved
45,126622,6,7.5,34645,PhD,Cloud Engineer,No,Yes,No,Contract,UK,Approved
45,90217,10,5.8,83061,PhD,Software Engineer,Yes,No,Yes,Full-Time,Australia,Approved
44,106164,11,8.9,52302,PhD,Cloud Engineer,Yes,No,No,Contract,Germany,Approved
24,73960,15,5.7,75040,Diploma,Backend Developer,No,No,No,Contract,UK,Rejected
29,112095,3,6.8,81629,Bachelors,Cloud Engineer,No,No,No,Contract,UK,Approved
31,85076,13,8.1,72538,PhD,Backend Developer,No,No,No,Full-Time,Germany,Approved
40,144335,9,7.4,97918,Masters,AI Engineer,No,Yes,No,Contract,USA,Approved
41,131861,14,6.0,76476,Bachelors,Backend Developer,Yes,Yes,Yes,Full-Time,Australia,Approved
33,141711,15,8.0,87796,PhD,Backend Developer,No,Yes,Yes,Full-Time,UK,Approved
39,140582,11,7.2,84184,Bachelors,AI Engineer,Yes,No,No,Full-Time,Australia,Approved
38,126514,5,8.4,52035,Diploma,AI Engineer,No,No,Yes,Contract,UK,Approved
39,105919,7,5.9,71198,Bachelors,Data Scientist,Yes,Yes,No,Full-Time,Canada,Approved
45,100825,13,7.7,45764,Bachelors,Backend Developer,Yes,Yes,No,Contract,Germany,Approved
32,63719,3,8.7,32677,Masters,Data Scientist,Yes,No,No,Full-Time,USA,Approved
26,78782,5,5.8,93449,Diploma,AI Engineer,Yes,No,Yes,Full-Time,Australia,Rejected
39,89082,14,8.8,30511,Diploma,Backend Developer,No,No,Yes,Full-Time,Australia,Approved
32,118385,8,6.8,35175,Masters,Backend Developer,No,Yes,No,Contract,Australia,Approved
43,56660,12,7.8,85778,Masters,Data Scientist,Yes,Yes,No,Full-Time,Australia,Approved
29,114642,1,7.0,85450,Masters,Backend Developer,No,No,No,Full-Time,Australia,Approved
26,141403,7,7.9,69597,PhD,Software Engineer,Yes,No,Yes,Full-Time,Canada,Approved
37,137046,8,5.6,62684,Masters,Data Scientist,No,Yes,No,Full-Time,Australia,Approved
27,99486,2,6.9,96232,PhD,Data Scientist,Yes,Yes,Yes,Contract,UK,Approved
23,136471,14,7.0,46924,Masters,Software Engineer,No,Yes,No,Full-Time,Australia,Approved
24,59502,1,8.8,42527,Bachelors,Data Scientist,No,Yes,Yes,Full-Time,Australia,Rejected
29,62736,11,8.4,73393,Masters,Cloud Engineer,Yes,Yes,Yes,Full-Time,UK,Approved
37,132076,10,7.9,80024,PhD,Cloud Engineer,No,No,Yes,Contract,USA,Approved
31,74494,4,9.0,43451,Bachelors,AI Engineer,No,Yes,No,Contract,USA,Approved
28,131894,14,6.4,50013,PhD,Cloud Engineer,No,No,Yes,Full-Time,Canada,Rejected
28,74153,7,8.7,57464,Bachelors,AI Engineer,No,No,No,Full-Time,Canada,Approved
28,146201,1,8.9,81699,PhD,Software Engineer,No,Yes,Yes,Full-Time,Australia,Approved
32,65212,0,8.4,73451,Diploma,Cloud Engineer,No,No,Yes,Full-Time,Australia,Rejected
34,62406,1,6.7,65290,Diploma,AI Engineer,No,Yes,No,Full-Time,UK,Approved
39,70741,11,6.6,75634,Masters,Data Scientist,Yes,Yes,Yes,Full-Time,USA,Approved
45,109730,2,8.7,15578,Bachelors,Software Engineer,No,No,Yes,Contract,USA,Rejected
22,78858,11,6.4,30247,Bachelors,Data Scientist,No,Yes,No,Full-Time,Canada,Approved
28,96095,8,8.0,31294,Diploma,Backend Developer,No,Yes,Yes,Full-Time,Canada,Approved
42,86730,0,7.1,78226,Masters,Data Scientist,Yes,No,No,Contract,USA,Approved
45,83875,14,6.5,30691,Diploma,Cloud Engineer,Yes,No,Yes,Full-Time,UK,Approved
27,59297,15,5.5,95859,Diploma,Data Scientist,Yes,No,Yes,Contract,UK,Rejected
45,129619,9,8.0,76183,Masters,Software Engineer,No,Yes,Yes,Full-Time,UK,Approved
22,127845,13,5.8,58682,Diploma,Data Scientist,No,No,No,Full-Time,Germany,Approved
41,53586,11,8.3,59411,Diploma,AI Engineer,No,No,Yes,Full-Time,UK,Rejected
41,61240,5,7.3,72423,Diploma,Cloud Engineer,No,No,Yes,Contract,Germany,Rejected
25,98494,3,9.0,77744,Masters,Backend Developer,No,No,Yes,Full-Time,Canada,Rejected
22,75640,10,7.4,84293,Bachelors,Software Engineer,No,No,No,Contract,Germany,Approved
22,76305,12,7.3,27370,Diploma,AI Engineer,No,Yes,No,Full-Time,Australia,Approved
35,134507,11,8.2,46240,PhD,Cloud Engineer,No,No,No,Contract,Canada,Approved
42,83637,15,8.9,27754,Diploma,Backend Developer,Yes,Yes,Yes,Full-Time,USA,Approved
43,86239,11,6.1,17364,Diploma,Data Scientist,Yes,Yes,Yes,Contract,Canada,Approved
37,86319,3,6.2,33736,Bachelors,Data Scientist,Yes,No,No,Contract,UK,Approved
32,139473,15,7.7,95217,PhD,Data Scientist,Yes,No,Yes,Full-Time,UK,Approved
24,106322,12,8.9,97580,Masters,AI Engineer,Yes,Yes,No,Full-Time,Canada,Approved
43,102226,13,5.8,42340,Masters,Data Scientist,No,No,No,Full-Time,Germany,Approved
29,111214,0,5.6,33556,Diploma,Cloud Engineer,No,Yes,No,Contract,Germany,Approved
45,127966,8,8.3,84796,Diploma,Backend Developer,No,No,Yes,Contract,Germany,Approved
45,87494,2,6.1,84931,Diploma,Cloud Engineer,No,No,No,Full-Time,USA,Rejected
23,113178,3,7.6,10879,Masters,Software Engineer,No,Yes,Yes,Full-Time,Canada,Rejected
37,116577,14,7.5,33005,Diploma,Software Engineer,Yes,Yes,Yes,Full-Time,Canada,Approved
