age,country_citizenship,country_residence,marital_status,dependents,education_level,field_of_study,eca_done,total_work_exp,relevant_work_exp,current_employment_status,teer_category,job_offer,employer_sponsorship,offered_salary_cad,english_test,language_overall_score,french_proficiency,annual_income_cad,settlement_funds_cad,outstanding_debt_cad,financial_sponsor,previous_canada_visa,previous_visa_refusal,previous_immigration_violation,previous_canada_work,previous_canada_study,criminal_record,medical_flag,visa_outcome,settlement_funds_adequate,debt_to_income_ratio,relevant_exp_ratio,financial_strength_score
19,Nigeria,UAE,Single,0,Bachelor's,Computer Science,1,0,0,Employed,TEER 1,1,1,90599,Other,8.0,No French,48415,34287,216,Family,1,1,0,0,0,0,0,1,1,0.0016,0.0,100.0
38,Pakistan,USA,Married,1,High School,Computer Science,0,3,1,Employed,TEER 3,0,0,0,No Test,4.6,Basic,32783,3674,63,Self,1,0,0,0,0,0,0,0,0,0.0019,0.25,44.47
50,USA,India,Married,1,Bachelor's,Business,1,4,1,Employed,TEER 0,1,0,64790,IELTS,6.5,No French,46024,7922,2032,Self,1,0,0,0,0,0,1,0,0,0.0183,0.2,56.91
29,Nigeria,USA,Common-Law,0,Bachelor's,Healthcare,1,5,5,Employed,TEER 2,1,0,86200,Other,7.9,Intermediate,41988,18920,12848,Employer,1,0,0,1,0,0,0,1,1,0.1002,0.8333,81.55
39,India,Brazil,Single,0,Bachelor's,Information Technology,1,6,0,Employed,TEER 3,1,1,58056,IELTS,7.6,Basic,42268,70799,18809,Self,0,0,0,0,0,0,0,1,1,0.1875,0.0,100.0
61,Philippines,Brazil,Single,0,Master's,Engineering,1,7,6,Employed,TEER 1,0,0,0,No Test,4.6,No French,44523,13466,3977,Self,0,0,0,0,0,0,0,0,0,0.0893,0.75,70.84
42,China,Philippines,Common-Law,0,Bachelor's,Engineering,1,4,1,Self-employed,TEER 3,0,0,0,IELTS,7.4,No French,26364,27780,6626,Employer,0,1,0,0,1,0,0,0,1,0.2513,0.2,92.36
44,Brazil,China,Married,0,Master's,Healthcare,1,6,6,Self-employed,TEER 0,0,0,0,IELTS,9.1,No French,50644,3303,9794,Employer,0,0,0,0,0,0,0,1,0,0.1934,0.8571,49.56
59,Philippines,UK,Common-Law,2,Diploma,Information Technology,1,13,11,Employed,TEER 1,1,1,99002,IELTS,7.2,Basic,16826,34044,24450,Family,1,0,0,0,1,0,0,1,1,0.2111,0.7857,77.77
45,India,Germany,Single,0,Bachelor's,Business,1,3,3,Employed,TEER 1,1,1,105617,IELTS,8.0,No French,30663,26099,19528,Other,1,0,0,0,0,0,0,1,1,0.1433,0.75,92.03
33,USA,USA,Married,0,Bachelor's,Information Technology,1,7,7,Employed,TEER 0,0,0,0,IELTS,5.6,No French,42622,34416,471,Self,0,0,0,0,0,0,0,1,1,0.0111,0.875,100.0
32,Vietnam,Brazil,Married,1,Bachelor's,Healthcare,1,7,7,Employed,TEER 1,0,0,0,CELPIP,5.8,No French,8000,61757,2281,Self,0,1,0,0,0,0,0,0,1,0.2851,0.875,100.0
61,China,UAE,Married,1,PhD,Computer Science,0,2,0,Self-employed,TEER 1,0,0,0,IELTS,5.8,No French,60379,6960,403,Family,1,0,0,0,0,0,0,0,0,0.0067,0.0,61.15
20,India,Nigeria,Single,2,Diploma,Information Technology,1,0,0,Employed,TEER 2,0,0,0,No Test,4.8,No French,8000,10581,7668,Family,0,1,0,1,0,0,0,0,0,0.9584,0.0,29.12
54,Philippines,India,Single,1,Bachelor's,Information Technology,1,2,1,Employed,TEER 3,0,0,0,CELPIP,6.9,No French,58391,139703,9916,Family,0,0,0,0,0,0,0,0,1,0.1698,0.3333,100.0
24,India,China,Married,0,Bachelor's,Engineering,1,4,4,Employed,TEER 0,0,0,0,CELPIP,6.4,No French,19143,7248,2948,Employer,0,0,0,0,0,0,0,1,0,0.154,0.8,46.15
38,France,UAE,Single,2,Master's,Computer Science,1,3,3,Employed,TEER 1,0,0,0,IELTS,8.5,No French,36901,34880,15385,Self,0,0,0,0,0,0,0,1,1,0.4169,0.75,83.92
26,India,China,Married,1,Diploma,Business,1,3,0,Employed,TEER 1,0,0,0,Other,6.2,No French,55382,35281,4823,Self,0,0,0,1,0,0,0,1,1,0.0871,0.0,100.0
56,China,Philippines,Divorced,0,Master's,Computer Science,0,1,0,Employed,TEER 1,1,0,95984,CELPIP,6.5,No French,88962,31720,51410,Self,0,0,1,1,0,0,0,0,1,0.278,0.0,100.0
35,Philippines,Germany,Single,1,Bachelor's,Healthcare,1,7,3,Employed,TEER 2,1,0,88763,Other,7.2,Basic,47329,9451,3,Family,0,1,0,0,0,0,0,1,0,0.0,0.375,60.36
21,China,Brazil,Married,3,Diploma,Business,1,1,1,Employed,TEER 1,0,0,0,No Test,4.6,No French,8000,9056,927,Self,1,0,1,0,0,0,0,0,0,0.1159,0.5,37.66
42,Brazil,Nigeria,Single,0,Bachelor's,Engineering,1,9,4,Employed,TEER 0,1,1,87754,IELTS,7.8,No French,64073,30440,2873,Employer,0,0,0,0,0,0,1,1,1,0.0189,0.4,100.0
31,USA,UAE,Married,0,Bachelor's,Business,1,4,1,Employed,TEER 2,0,0,0,IELTS,6.9,No French,40361,8152,206,Self,0,0,0,0,0,0,0,0,0,0.0051,0.2,58.85
26,India,China,Divorced,0,Bachelor's,Healthcare,1,6,1,Employed,TEER 3,1,1,11768,CELPIP,7.1,No French,46398,30085,12198,Self,0,1,0,1,0,0,0,1,1,0.2097,0.1429,100.0
43,India,UK,Single,0,Master's,Information Technology,0,3,0,Employed,TEER 1,1,1,93166,Other,9.0,No French,56157,19957,433,Self,0,0,0,0,0,0,0,1,1,0.0029,0.0,90.94
19,India,Philippines,Single,0,Bachelor's,Business,1,0,0,Employed,TEER 1,1,0,74494,IELTS,9.0,No French,8000,15219,11057,Family,0,0,0,0,0,0,0,1,1,0.134,0.0,59.38
37,Pakistan,UK,Single,1,Bachelor's,Information Technology,1,6,2,Employed,TEER 0,1,1,59304,IELTS,8.8,Basic,45130,11925,432,Self,1,1,0,0,1,0,0,1,0,0.0041,0.2857,63.72
45,Pakistan,Nigeria,Single,0,Bachelor's,Engineering,1,5,4,Employed,TEER 0,1,1,95624,CELPIP,9.0,No French,36806,76710,2330,Family,0,0,0,0,0,1,0,1,1,0.0176,0.6667,100.0
24,China,UAE,Married,3,High School,Business,0,3,2,Employed,TEER 0,1,0,115613,IELTS,7.8,No French,69436,20736,14724,Self,0,0,0,1,1,0,0,1,0,0.0796,0.5,77.23
61,China,Philippines,Common-Law,2,Diploma,Information Technology,1,11,0,Employed,TEER 1,0,0,0,IELTS,8.1,Intermediate,59542,23595,24143,Self,1,0,0,0,0,0,0,0,1,0.4055,0.0,76.84
25,Brazil,UAE,Single,1,Bachelor's,Information Technology,1,5,0,Employed,TEER 3,1,1,69833,IELTS,7.7,No French,12459,77524,4282,Self,1,0,0,0,0,0,0,1,1,0.052,0.0,100.0
52,India,Brazil,Single,2,Bachelor's,Engineering,0,6,1,Employed,TEER 1,1,1,57243,IELTS,8.6,No French,70252,29524,28036,Family,0,0,0,0,0,0,0,1,1,0.2199,0.1429,92.47
31,France,Canada,Single,0,Diploma,Business,1,6,5,Employed,TEER 0,1,1,81181,IELTS,7.7,No French,53990,82164,7886,Self,0,0,0,1,0,0,0,1,1,0.0583,0.7143,100.0
34,Nigeria,Philippines,Married,0,Bachelor's,Finance,0,6,3,Employed,TEER 1,0,0,0,No Test,4.6,Intermediate,14055,5811,4300,Employer,0,0,0,0,0,0,0,0,0,0.3059,0.4286,38.71
53,Philippines,UK,Single,1,Bachelor's,Engineering,1,6,5,Employed,TEER 1,0,0,0,CELPIP,8.7,No French,46115,49874,12988,Self,0,0,0,0,0,0,0,1,1,0.2816,0.7143,100.0
57,Nigeria,Nigeria,Married,2,Diploma,Healthcare,1,5,1,Employed,TEER 2,0,0,0,No Test,5.2,No French,65696,13214,2800,Self,0,0,0,0,0,0,0,0,0,0.0426,0.1667,69.74
21,India,Germany,Married,2,Bachelor's,Finance,1,1,1,Employed,TEER 1,1,1,140084,CELPIP,8.8,No French,20719,44582,2471,Self,1,1,0,0,0,1,0,0,1,0.0154,0.5,97.49
19,India,Brazil,Married,0,Diploma,Computer Science,1,0,0,Employed,TEER 1,1,1,101730,IELTS,6.3,Basic,72551,51385,8549,Self,0,1,0,0,0,0,0,1,1,0.0491,0.0,100.0
23,UK,Canada,Single,3,Master's,Information Technology,1,3,1,Self-employed,TEER 1,0,0,0,CELPIP,6.6,Basic,14747,10918,3960,Self,0,0,0,1,0,0,0,1,0,0.2685,0.25,40.37
59,India,Germany,Married,0,Master's,Healthcare,1,13,3,Employed,TEER 0,0,0,0,Other,6.7,No French,29175,16141,1168,Self,0,0,0,0,0,0,0,0,1,0.04,0.2143,71.27
21,China,India,Single,2,Bachelor's,Business,1,1,1,Employed,TEER 0,1,1,62441,No Test,4.9,No French,26142,35366,554,Family,1,0,0,0,1,0,0,1,1,0.0063,0.5,86.48
46,India,Brazil,Single,4,Diploma,Business,1,1,0,Employed,TEER 0,1,1,79642,CELPIP,6.0,No French,72538,5607,12403,Self,0,0,0,1,0,0,0,1,0,0.0815,0.0,58.85
35,Philippines,Nigeria,Common-Law,0,Master's,Engineering,1,4,3,Employed,TEER 1,1,1,55974,IELTS,7.0,No French,35179,38216,9013,Self,0,0,0,0,0,0,0,1,1,0.0989,0.6,100.0
43,Philippines,China,Married,2,Master's,Computer Science,1,2,1,Employed,TEER 0,1,1,113208,IELTS,6.2,Basic,21743,5926,4245,Self,0,0,0,0,0,0,0,1,0,0.0315,0.3333,41.79
61,Philippines,Philippines,Single,0,Master's,Engineering,1,7,6,Employed,TEER 1,0,0,0,IELTS,6.6,No French,53904,64468,18124,Self,0,0,1,0,0,0,0,0,1,0.3362,0.75,100.0
51,UK,UAE,Single,0,Diploma,Information Technology,1,4,0,Employed,TEER 2,1,1,66262,No Test,5.2,No French,58223,11085,4232,Self,0,0,0,0,0,0,0,1,0,0.034,0.0,71.95
27,Philippines,Nigeria,Single,1,Bachelor's,Information Technology,1,5,2,Employed,TEER 2,1,1,117246,IELTS,8.9,No French,58350,24426,9911,Other,0,0,0,0,0,0,0,1,1,0.0564,0.3333,89.96
53,China,Philippines,Single,1,Master's,Business,1,8,1,Unemployed,TEER 2,1,0,77906,Other,5.6,No French,39573,6115,19185,Family,0,0,1,0,0,0,0,0,0,0.1633,0.1111,49.01
31,Nigeria,Germany,Single,3,Bachelor's,Computer Science,1,6,2,Employed,TEER 3,0,0,0,IELTS,7.8,No French,50090,10850,14696,Family,1,1,0,0,0,0,0,0,0,0.2934,0.2857,54.05
48,Brazil,UAE,Single,1,Bachelor's,Business,1,5,4,Self-employed,TEER 1,0,0,0,CELPIP,5.6,Advanced,31995,15935,5724,Self,0,0,0,0,0,0,0,0,0,0.1789,0.6667,62.82
32,France,USA,Married,0,Bachelor's,Engineering,1,2,2,Employed,TEER 3,0,0,0,IELTS,5.8,No French,78496,19689,9131,Self,0,0,0,0,0,0,0,1,1,0.1163,0.6667,97.59
25,UK,UK,Married,2,Bachelor's,Engineering,1,5,1,Employed,TEER 1,1,1,108797,IELTS,8.3,No French,67884,3001,4270,Self,1,0,0,0,0,0,0,1,0,0.0242,0.1667,56.13
31,India,India,Married,3,High School,Computer Science,0,5,0,Employed,TEER 1,0,0,0,IELTS,8.4,No French,66659,57878,8334,Self,0,0,0,0,1,0,0,1,1,0.125,0.0,100.0
40,India,Brazil,Married,0,Bachelor's,Information Technology,1,6,3,Employed,TEER 1,1,1,89236,CELPIP,8.8,No French,60882,3192,2382,Self,1,0,0,1,0,1,0,1,0,0.0159,0.4286,56.08
57,Philippines,Nigeria,Single,4,High School,Computer Science,1,3,0,Employed,TEER 0,1,1,74894,IELTS,7.4,No French,55394,40145,4563,Self,1,0,0,0,0,0,0,1,1,0.035,0.0,90.02
38,China,India,Divorced,0,Bachelor's,Other,1,6,2,Employed,TEER 4/5,1,1,89310,CELPIP,8.9,No French,20112,18899,1881,Employer,0,0,0,0,1,0,0,1,1,0.0172,0.2857,74.0
33,India,China,Married,2,Diploma,Business,1,6,3,Employed,TEER 0,0,0,0,IELTS,6.2,No French,57666,21552,311,Other,0,0,0,1,0,0,0,1,1,0.0054,0.4286,79.13
35,Nigeria,Philippines,Married,0,Bachelor's,Engineering,1,4,0,Self-employed,TEER 1,1,1,81346,CELPIP,6.5,No French,47285,8838,7104,Self,0,0,0,1,1,0,0,1,0,0.0552,0.0,62.36
41,China,Philippines,Married,0,Diploma,Information Technology,1,7,0,Employed,TEER 1,0,0,0,IELTS,6.0,No French,70267,26372,15986,Family,0,1,0,0,0,0,0,0,1,0.2275,0.0,100.0
43,Philippines,Nigeria,Common-Law,0,Bachelor's,Finance,1,4,0,Employed,TEER 0,1,1,38820,CELPIP,8.7,No French,61148,22263,207,Family,1,0,0,0,0,0,0,1,1,0.0021,0.0,97.98
42,USA,Canada,Married,1,Master's,Information Technology,1,0,0,Employed,TEER 0,1,1,79109,IELTS,6.4,Basic,56007,7485,1745,Self,1,0,0,0,0,0,0,1,0,0.0129,0.0,60.22
58,India,Canada,Single,0,Diploma,Computer Science,1,9,3,Employed,TEER 0,1,0,105770,CELPIP,6.1,No French,11315,9799,4932,Employer,0,0,0,0,0,0,0,0,0,0.0421,0.3,50.26
46,India,USA,Married,0,Diploma,Engineering,1,1,0,Employed,TEER 1,1,0,98367,IELTS,8.0,Intermediate,43219,4731,8770,Self,0,0,0,0,0,0,0,1,0,0.0619,0.0,51.68
32,UK,UK,Married,1,Diploma,Finance,1,6,6,Employed,TEER 3,1,1,76197,CELPIP,5.8,No French,33842,4714,1502,Family,1,0,1,1,0,0,0,1,0,0.0136,0.8571,46.53
18,Nigeria,UAE,Married,3,Master's,Computer Science,1,0,0,Unemployed,TEER 1,1,1,116433,No Test,5.5,No French,50047,3346,466,Self,0,1,0,0,0,0,0,1,0,0.0028,0.0,49.11
42,Brazil,China,Married,0,Bachelor's,Information Technology,1,5,0,Employed,TEER 0,1,1,65480,IELTS,5.9,Advanced,36689,9226,5855,Self,0,0,0,1,0,0,0,1,0,0.0573,0.0,58.94
24,Nigeria,India,Single,0,Bachelor's,Finance,1,4,2,Employed,TEER 2,1,0,35807,IELTS,5.5,No French,39481,31459,13661,Self,0,0,0,1,0,0,0,1,1,0.1814,0.4,100.0
26,India,Canada,Single,0,Diploma,Computer Science,1,6,0,Employed,TEER 4/5,1,1,29993,CELPIP,8.3,No French,54180,12502,286,Employer,0,0,0,0,0,0,0,1,0,0.0034,0.0,73.88
41,USA,USA,Common-Law,0,Bachelor's,Computer Science,1,4,0,Self-employed,TEER 0,1,1,52013,CELPIP,7.7,No French,36357,13491,3438,Self,1,0,0,0,1,0,0,1,0,0.0389,0.0,68.38
18,USA,USA,Married,2,Master's,Engineering,1,0,0,Employed,TEER 1,1,1,95965,IELTS,6.3,Basic,47431,6536,8713,Self,1,0,0,0,1,0,0,1,0,0.0608,0.0,52.51
61,Brazil,Nigeria,Married,2,Master's,Business,1,10,4,Employed,TEER 4/5,1,1,64034,IELTS,6.4,No French,14611,24419,1120,Self,0,0,0,0,0,0,0,1,1,0.0142,0.3636,65.92
25,Philippines,China,Single,1,Bachelor's,Engineering,1,5,3,Unemployed,TEER 0,1,1,88141,IELTS,8.7,No French,28351,13469,2152,Self,0,0,0,0,1,0,0,1,0,0.0185,0.5,59.48
41,China,Germany,Single,0,High School,Other,0,7,4,Self-employed,TEER 1,0,0,0,IELTS,7.5,No French,58120,31199,6134,Family,1,0,0,0,0,0,0,1,1,0.1055,0.5,100.0
28,Philippines,UAE,Common-Law,2,Diploma,Healthcare,1,6,5,Employed,TEER 0,1,1,53797,IELTS,8.3,Basic,20396,36817,24500,Family,0,0,0,1,0,0,0,1,1,0.3302,0.7143,81.42
34,India,UK,Married,1,High School,Computer Science,1,4,2,Self-employed,TEER 3,1,0,88526,CELPIP,7.3,No French,69914,24968,2710,Employer,0,0,1,0,1,0,0,0,1,0.0171,0.4,96.11
25,France,Brazil,Married,2,Diploma,Other,1,3,3,Employed,TEER 4/5,0,0,0,IELTS,6.5,No French,64487,11076,5348,Family,1,0,0,0,0,0,0,1,0,0.0829,0.75,65.56
52,India,Nigeria,Married,1,Diploma,Engineering,1,5,4,Employed,TEER 2,0,0,0,IELTS,9.4,No French,39635,20762,4085,Employer,0,0,0,0,0,0,0,1,1,0.1031,0.6667,75.4
52,France,UAE,Married,2,Diploma,Information Technology,1,4,1,Employed,TEER 1,0,0,0,Other,7.8,Basic,104974,10256,18215,Family,1,0,0,0,0,0,0,0,0,0.1735,0.2,79.21
50,Nigeria,Brazil,Single,1,Bachelor's,Engineering,1,4,3,Self-employed,TEER 1,0,0,0,IELTS,6.0,No French,69862,61303,596,Employer,0,1,0,1,0,0,0,0,1,0.0085,0.6,100.0
22,India,Brazil,Married,0,Master's,Information Technology,0,2,0,Employed,TEER 0,1,1,69557,CELPIP,7.1,No French,26014,39352,6680,Self,0,1,0,0,0,0,0,1,1,0.0699,0.0,100.0
59,China,China,Single,3,Bachelor's,Computer Science,1,2,0,Employed,TEER 3,1,1,124455,Other,6.8,Basic,59923,19981,14972,Self,1,0,1,0,1,1,0,0,0,0.0812,0.0,72.46
56,Pakistan,China,Single,1,Master's,Computer Science,1,7,4,Unemployed,TEER 3,0,0,0,IELTS,6.4,No French,46317,87138,35461,Other,1,0,0,0,1,0,0,1,1,0.7656,0.5,100.0
58,UK,India,Married,1,Bachelor's,Engineering,0,3,0,Employed,TEER 1,0,0,0,IELTS,9.2,No French,29465,22783,9597,Family,0,0,0,0,0,0,0,0,1,0.3257,0.0,71.51
45,USA,USA,Common-Law,0,Diploma,Business,1,5,0,Employed,TEER 2,0,0,0,No Test,5.4,Intermediate,23601,12957,3823,Employer,0,0,0,0,0,0,0,0,0,0.162,0.0,60.27
24,Brazil,UAE,Single,1,Bachelor's,Engineering,1,4,2,Employed,TEER 0,0,0,0,No Test,4.6,Basic,64897,5508,4245,Self,0,0,0,0,0,0,0,0,0,0.0654,0.4,59.55
26,Brazil,Nigeria,Married,1,Diploma,Other,1,6,4,Employed,TEER 1,1,1,105496,IELTS,6.9,No French,33041,22617,3466,Employer,1,0,0,0,1,0,0,1,1,0.025,0.5714,77.16
25,USA,Philippines,Single,0,Bachelor's,Information Technology,1,5,4,Employed,TEER 2,1,0,66958,IELTS,8.5,No French,42962,52227,7402,Family,0,0,0,0,0,0,0,1,1,0.0673,0.6667,100.0
29,India,Nigeria,Single,0,Bachelor's,Information Technology,1,3,2,Self-employed,TEER 1,0,0,0,IELTS,6.3,No French,26579,53382,10758,Self,0,1,0,0,0,0,0,0,1,0.4047,0.5,100.0
51,Nigeria,India,Single,1,PhD,Computer Science,1,3,3,Employed,TEER 1,0,0,0,IELTS,7.9,Intermediate,30036,26194,13694,Self,1,0,0,0,0,0,0,1,1,0.4559,0.75,75.71
50,India,UK,Single,2,Diploma,Computer Science,1,5,1,Employed,TEER 0,0,0,0,IELTS,8.3,Advanced,42461,15498,4310,Self,0,0,0,0,0,1,0,0,0,0.1015,0.1667,62.86
40,Vietnam,USA,Married,1,Diploma,Information Technology,1,7,6,Employed,TEER 2,0,0,0,CELPIP,8.1,No French,52763,29266,10090,Employer,0,0,0,0,0,0,0,1,1,0.1912,0.75,94.11
41,France,Philippines,Single,0,Master's,Business,1,5,5,Employed,TEER 3,1,1,83878,Other,8.3,No French,8000,38901,19836,Family,0,0,1,0,0,0,0,1,1,0.2159,0.8333,100.0
54,India,Canada,Married,1,High School,Finance,0,5,1,Employed,TEER 4/5,1,1,67193,IELTS,8.3,Basic,45338,16259,20288,Employer,1,0,0,0,0,0,0,1,0,0.1803,0.1667,68.7
52,UK,UK,Common-Law,0,Bachelor's,Other,1,10,9,Employed,TEER 2,0,0,0,CELPIP,9.4,No French,30077,19168,9739,Self,1,0,0,0,0,0,0,1,1,0.3238,0.8182,73.97
61,France,China,Single,0,Bachelor's,Information Technology,1,2,0,Employed,TEER 1,0,0,0,IELTS,6.9,No French,73047,31534,8104,Employer,0,0,0,0,1,0,0,0,1,0.1109,0.0,100.0
57,India,Brazil,Married,0,Master's,Finance,1,6,3,Self-employed,TEER 1,1,1,70782,IELTS,9.0,No French,103855,55318,6066,Self,0,1,0,1,0,0,0,1,1,0.0347,0.4286,100.0
39,China,Canada,Single,0,PhD,Information Technology,1,7,2,Employed,TEER 4/5,1,0,79071,IELTS,5.6,No French,37814,42136,1618,Self,0,0,0,0,0,0,0,1,1,0.0138,0.25,100.0
44,France,Nigeria,Married,0,PhD,Computer Science,1,4,1,Employed,TEER 1,1,1,88196,IELTS,6.7,Intermediate,10555,3566,1055,Self,0,0,0,0,0,0,0,1,0,0.0107,0.2,36.84
52,India,Nigeria,Single,0,High School,Finance,0,11,4,Unemployed,TEER 2,1,1,86576,IELTS,5.7,Intermediate,47337,6320,5319,Other,0,0,0,0,0,0,0,1,0,0.0397,0.3333,57.12
18,Brazil,China,Single,0,Master's,Healthcare,0,0,0,Self-employed,TEER 2,0,0,0,Other,8.1,No French,40891,50895,1389,Self,1,0,0,0,0,0,0,1,1,0.034,0.0,100.0
52,Philippines,India,Single,0,Bachelor's,Computer Science,0,4,1,Employed,TEER 3,1,1,96636,IELTS,5.9,No French,84427,47867,6883,Self,1,1,0,0,0,0,0,1,1,0.038,0.2,100.0
54,France,UAE,Single,1,Bachelor's,Engineering,1,1,1,Unemployed,TEER 0,1,0,73107,CELPIP,8.9,No French,78331,15308,8300,Self,0,0,0,0,0,0,0,1,0,0.0548,0.5,82.12
31,Vietnam,Canada,Single,0,Diploma,Information Technology,1,11,7,Employed,TEER 0,0,0,0,IELTS,8.1,Basic,62307,24943,5965,Self,0,0,0,1,0,0,0,1,1,0.0957,0.5833,100.0
20,France,Canada,Married,0,Bachelor's,Business,1,0,0,Employed,TEER 2,1,1,45703,IELTS,5.6,No French,33266,62070,296,Employer,0,0,0,0,0,0,0,1,1,0.0037,0.0,100.0
18,Nigeria,Germany,Common-Law,2,PhD,Engineering,1,0,0,Employed,TEER 3,0,0,0,IELTS,8.4,No French,58555,63635,475,Self,0,1,0,1,0,0,0,1,1,0.0081,0.0,100.0
22,Pakistan,UK,Married,0,Master's,Other,1,2,1,Employed,TEER 2,1,0,78272,CELPIP,8.9,No French,50300,41207,962,Family,0,0,0,0,0,0,0,1,1,0.0075,0.3333,100.0
43,USA,USA,Married,1,Bachelor's,Computer Science,0,5,2,Employed,TEER 1,0,0,0,IELTS,8.1,No French,49826,8880,1334,Employer,0,0,0,0,0,0,0,0,0,0.0268,0.3333,59.97
